Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.72746,  0.38567,  1.32006, -0.70403,  0.50370,  1.29256
2, -0.72702,  0.32423,  1.29248, -0.69911,  0.57037,  1.29538
3, -0.72198,  0.43345,  1.31180, -0.69478,  0.59259,  1.29759
4, -0.71952,  0.46758,  1.36086, -0.69073,  0.59259,  1.29922
5, -0.71619,  0.55290,  1.33495, -0.68667,  0.60741,  1.30062
6, -0.71388,  0.56655,  1.29816, -0.68251,  0.65926,  1.30162
7, -0.71401,  0.52218,  1.36226, -0.67877,  0.66667,  1.30259
8, -0.70702,  0.60751,  1.30249, -0.67518,  0.68148,  1.30340
9, -0.70583,  0.62457,  1.34277, -0.67146,  0.71852,  1.30430
10, -0.70105,  0.62116,  1.27566, -0.66755,  0.74074,  1.30499
11, -0.70258,  0.64505,  1.29007, -0.66564,  0.74074,  1.30543
12, -0.69852,  0.68601,  1.27865, -0.66358,  0.75556,  1.30581
13, -0.69631,  0.67918,  1.34572, -0.66189,  0.75556,  1.30629
14, -0.69401,  0.65188,  1.35554, -0.66041,  0.75556,  1.30670
15, -0.69525,  0.67577,  1.31162, -0.65821,  0.77037,  1.30725
16, -0.68818,  0.69966,  1.33892, -0.65654,  0.77037,  1.30775
17, -0.69070,  0.68259,  1.34551, -0.65465,  0.78519,  1.30821
18, -0.69014,  0.67235,  1.34559, -0.65304,  0.78519,  1.30872
19, -0.69103,  0.66212,  1.33561, -0.65102,  0.78519,  1.30899
20, -0.68365,  0.70990,  1.32392, -0.64927,  0.78519,  1.30927
21, -0.68180,  0.70990,  1.29836, -0.64834,  0.78519,  1.30944
22, -0.68188,  0.68942,  1.38008, -0.64770,  0.78519,  1.30960
23, -0.68444,  0.70990,  1.34732, -0.64672,  0.78519,  1.30987
24, -0.68108,  0.70648,  1.30810, -0.64569,  0.78519,  1.31008
25, -0.68315,  0.67577,  1.31767, -0.64485,  0.78519,  1.31025
26, -0.68040,  0.69966,  1.35351, -0.64402,  0.78519,  1.31040
27, -0.68000,  0.69283,  1.35554, -0.64306,  0.78519,  1.31052
28, -0.67867,  0.72014,  1.29871, -0.64232,  0.78519,  1.31065
29, -0.68139,  0.69625,  1.34197, -0.64135,  0.78519,  1.31067
30, -0.67646,  0.69625,  1.38497, -0.64052,  0.78519,  1.31082
31, -0.67956,  0.69625,  1.33932, -0.64014,  0.78519,  1.31088
32, -0.67867,  0.70990,  1.31432, -0.63955,  0.78519,  1.31091
33, -0.68001,  0.72355,  1.33341, -0.63914,  0.78519,  1.31096
34, -0.67833,  0.70648,  1.30616, -0.63874,  0.78519,  1.31102
35, -0.67744,  0.70648,  1.34035, -0.63847,  0.78519,  1.31108
36, -0.67673,  0.70307,  1.33364, -0.63782,  0.78519,  1.31114
37, -0.67531,  0.71672,  1.31763, -0.63718,  0.78519,  1.31116
38, -0.67843,  0.70648,  1.32604, -0.63695,  0.78519,  1.31120
39, -0.67524,  0.71331,  1.35432, -0.63643,  0.78519,  1.31124
40, -0.67769,  0.69966,  1.34518, -0.63598,  0.78519,  1.31127
41, -0.67207,  0.70307,  1.34276, -0.63584,  0.78519,  1.31128
42, -0.67663,  0.71331,  1.32855, -0.63536,  0.78519,  1.31131
43, -0.67336,  0.70648,  1.31132, -0.63546,  0.78519,  1.31134
44, -0.67255,  0.70648,  1.30958, -0.63533,  0.78519,  1.31135
45, -0.67296,  0.70990,  1.30227, -0.63493,  0.78519,  1.31139
46, -0.67249,  0.70307,  1.31302, -0.63472,  0.78519,  1.31144
47, -0.67458,  0.69966,  1.32055, -0.63452,  0.78519,  1.31147
48, -0.67179,  0.71672,  1.32983, -0.63418,  0.78519,  1.31150
49, -0.67201,  0.71672,  1.38528, -0.63425,  0.78519,  1.31151
50, -0.66947,  0.72696,  1.33458, -0.63383,  0.78519,  1.31154

Mean validation ll: -0.65197, Mean validation accuracy:  0.75156, Mean validation RMSE:  1.30808
