Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.72118,  0.25256,  1.26511, -0.70907,  0.25926,  1.27922
2, -0.72224,  0.33447,  1.28206, -0.70792,  0.28889,  1.27869
3, -0.72035,  0.38567,  1.27629, -0.70648,  0.34815,  1.27795
4, -0.72157,  0.38225,  1.32090, -0.70486,  0.42222,  1.27817
5, -0.72031,  0.43003,  1.27218, -0.70366,  0.45185,  1.27834
6, -0.71995,  0.43686,  1.26969, -0.70220,  0.51111,  1.27819
7, -0.71581,  0.46416,  1.27261, -0.70042,  0.57037,  1.27769
8, -0.71672,  0.50512,  1.26373, -0.69881,  0.62222,  1.27760
9, -0.71207,  0.55290,  1.28139, -0.69755,  0.69630,  1.27772
10, -0.71146,  0.55631,  1.24922, -0.69590,  0.70370,  1.27852
11, -0.71270,  0.55290,  1.26708, -0.69504,  0.70370,  1.27839
12, -0.71055,  0.59727,  1.29018, -0.69399,  0.71111,  1.27859
13, -0.70923,  0.58362,  1.25136, -0.69315,  0.71852,  1.27882
14, -0.70910,  0.62116,  1.30291, -0.69208,  0.71852,  1.27896
15, -0.71064,  0.61775,  1.30808, -0.69128,  0.71852,  1.27926
16, -0.70615,  0.61092,  1.30425, -0.69010,  0.72593,  1.27948
17, -0.70546,  0.61775,  1.32333, -0.68932,  0.73333,  1.27974
18, -0.70472,  0.61775,  1.23568, -0.68826,  0.74074,  1.28004
19, -0.70597,  0.65870,  1.27228, -0.68743,  0.74074,  1.28037
20, -0.70549,  0.63481,  1.31960, -0.68637,  0.74074,  1.28070
21, -0.70659,  0.66212,  1.30018, -0.68629,  0.74074,  1.28092
22, -0.70474,  0.66894,  1.23585, -0.68542,  0.74074,  1.28114
23, -0.70512,  0.66212,  1.28482, -0.68498,  0.74074,  1.28144
24, -0.70534,  0.67235,  1.30291, -0.68435,  0.74074,  1.28156
25, -0.70163,  0.67577,  1.28225, -0.68394,  0.74074,  1.28180
26, -0.70023,  0.65529,  1.25359, -0.68315,  0.74815,  1.28201
27, -0.70107,  0.66212,  1.19444, -0.68283,  0.74815,  1.28209
28, -0.69950,  0.66212,  1.24189, -0.68257,  0.74815,  1.28206
29, -0.70391,  0.68942,  1.27578, -0.68209,  0.74815,  1.28214
30, -0.70036,  0.66553,  1.29130, -0.68134,  0.74815,  1.28231
31, -0.70130,  0.65188,  1.29329, -0.68140,  0.74815,  1.28237
32, -0.70310,  0.66212,  1.29724, -0.68092,  0.74815,  1.28241
33, -0.70086,  0.66894,  1.30060, -0.68043,  0.74815,  1.28241
34, -0.69881,  0.67918,  1.29228, -0.68033,  0.77037,  1.28241
35, -0.69903,  0.66894,  1.25513, -0.68013,  0.77778,  1.28249
36, -0.69825,  0.66553,  1.23758, -0.67989,  0.77778,  1.28267
37, -0.70215,  0.69625,  1.28666, -0.67953,  0.77778,  1.28285
38, -0.69664,  0.69283,  1.27831, -0.67943,  0.77778,  1.28291
39, -0.69731,  0.68601,  1.29917, -0.67908,  0.77037,  1.28298
40, -0.70003,  0.67235,  1.28403, -0.67870,  0.77037,  1.28303
41, -0.70033,  0.68942,  1.24950, -0.67852,  0.77037,  1.28305
42, -0.69824,  0.68942,  1.29276, -0.67848,  0.77037,  1.28307
43, -0.69981,  0.67918,  1.25201, -0.67832,  0.77037,  1.28314
44, -0.69853,  0.66894,  1.33283, -0.67812,  0.77037,  1.28321
45, -0.69803,  0.68601,  1.27982, -0.67813,  0.77037,  1.28323
46, -0.69721,  0.67918,  1.28017, -0.67802,  0.77037,  1.28328
47, -0.69615,  0.70648,  1.29487, -0.67783,  0.77037,  1.28327
48, -0.69956,  0.69283,  1.26335, -0.67779,  0.77037,  1.28332
49, -0.69765,  0.67918,  1.28379, -0.67753,  0.77037,  1.28334
50, -0.69537,  0.69283,  1.23475, -0.67741,  0.77037,  1.28338

Mean validation ll: -0.68702, Mean validation accuracy:  0.69881, Mean validation RMSE:  1.28105
