Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.69333,  0.37884,  1.25825, -0.68176,  0.48889,  1.20445
2, -0.69301,  0.43003,  1.34290, -0.67848,  0.54074,  1.20401
3, -0.69030,  0.43345,  1.26261, -0.67530,  0.57778,  1.20383
4, -0.68370,  0.46416,  1.32287, -0.67245,  0.58519,  1.20405
5, -0.68397,  0.55631,  1.28896, -0.66947,  0.62963,  1.20441
6, -0.67979,  0.53584,  1.29616, -0.66622,  0.68148,  1.20472
7, -0.68039,  0.55973,  1.25399, -0.66341,  0.68148,  1.20510
8, -0.67685,  0.60751,  1.31238, -0.66063,  0.68148,  1.20557
9, -0.67104,  0.60068,  1.29179, -0.65760,  0.69630,  1.20613
10, -0.67303,  0.60068,  1.28308, -0.65459,  0.69630,  1.20682
11, -0.66967,  0.62116,  1.26506, -0.65298,  0.71852,  1.20709
12, -0.67170,  0.59727,  1.30338, -0.65136,  0.71852,  1.20737
13, -0.66834,  0.66894,  1.26555, -0.65001,  0.71852,  1.20769
14, -0.67012,  0.65529,  1.26946, -0.64841,  0.71852,  1.20807
15, -0.66648,  0.65188,  1.32998, -0.64697,  0.72593,  1.20851
16, -0.66698,  0.69283,  1.25389, -0.64530,  0.72593,  1.20893
17, -0.66529,  0.63823,  1.30421, -0.64369,  0.73333,  1.20933
18, -0.66390,  0.65188,  1.28410, -0.64237,  0.74815,  1.20951
19, -0.66054,  0.69625,  1.22266, -0.64081,  0.75556,  1.20980
20, -0.66105,  0.69625,  1.23554, -0.63936,  0.75556,  1.21020
21, -0.65603,  0.67918,  1.26347, -0.63849,  0.75556,  1.21047
22, -0.66057,  0.70307,  1.25786, -0.63769,  0.75556,  1.21071
23, -0.65827,  0.69625,  1.26722, -0.63722,  0.75556,  1.21087
24, -0.65788,  0.67235,  1.27503, -0.63637,  0.75556,  1.21101
25, -0.66053,  0.69625,  1.18829, -0.63538,  0.76296,  1.21124
26, -0.65733,  0.66553,  1.26957, -0.63499,  0.76296,  1.21143
27, -0.65926,  0.70307,  1.22859, -0.63383,  0.77037,  1.21161
28, -0.65813,  0.69966,  1.25868, -0.63343,  0.77037,  1.21182
29, -0.65405,  0.71672,  1.26126, -0.63256,  0.77037,  1.21207
30, -0.65384,  0.70307,  1.26892, -0.63153,  0.77778,  1.21220
31, -0.65490,  0.70648,  1.31551, -0.63136,  0.77778,  1.21233
32, -0.65609,  0.69283,  1.23672, -0.63072,  0.78519,  1.21243
33, -0.65457,  0.69966,  1.24365, -0.63051,  0.78519,  1.21253
34, -0.65318,  0.70648,  1.22470, -0.63036,  0.78519,  1.21263
35, -0.65208,  0.70307,  1.32666, -0.62959,  0.78519,  1.21274
36, -0.65357,  0.70990,  1.21794, -0.62943,  0.78519,  1.21286
37, -0.64973,  0.68942,  1.30088, -0.62903,  0.78519,  1.21297
38, -0.65325,  0.71672,  1.29394, -0.62850,  0.78519,  1.21309
39, -0.65484,  0.70648,  1.34104, -0.62819,  0.78519,  1.21322
40, -0.65111,  0.70648,  1.27743, -0.62797,  0.78519,  1.21337
41, -0.65102,  0.70990,  1.30317, -0.62767,  0.78519,  1.21343
42, -0.65233,  0.68942,  1.25620, -0.62730,  0.78519,  1.21348
43, -0.65122,  0.71672,  1.25556, -0.62717,  0.78519,  1.21355
44, -0.64890,  0.70990,  1.26810, -0.62727,  0.78519,  1.21359
45, -0.65134,  0.71331,  1.23149, -0.62710,  0.78519,  1.21364
46, -0.65289,  0.71331,  1.28022, -0.62655,  0.78519,  1.21370
47, -0.64960,  0.69966,  1.26157, -0.62664,  0.78519,  1.21375
48, -0.65040,  0.70990,  1.27792, -0.62629,  0.78519,  1.21381
49, -0.65111,  0.69966,  1.26466, -0.62611,  0.78519,  1.21386
50, -0.65185,  0.69966,  1.15434, -0.62594,  0.78519,  1.21390

Mean validation ll: -0.64113, Mean validation accuracy:  0.73822, Mean validation RMSE:  1.21028
